"都府県
振興局","観測所
番号",種類,観測所名,カタカナ名,所在地,緯度,,経度,,"海面上の
高さ（ｍ）","観測開始
年月日"
,,,,,,度,分,度,分,,
石狩,14910,雪,新篠津,シンシノツ,石狩郡新篠津村第46線北,43,13.2,141,38.7,9,昭56.10.12
石狩,14913,官,札幌,サッポロ,札幌市中央区北2条西　札幌管区気象台,43,3.6,141,19.7,17,平11.3.1
石狩,14915,雪,小金湯,コガネユ,札幌市南区小金湯,42,57.8,141,13,230,昭56.10.7
石狩,14920,雪,恵庭島松,エニワシママツ,恵庭市下島松,42,55.6,141,33.9,30,昭56.10.6
石狩,14923,官,千歳,チトセ,千歳市美々　新千歳航空測候所,42,46.5,141,41.5,22,平18.11.29
空知,15910,雪,深川,フカガワ,深川市一已町一已,43,43.1,142,4.4,55,昭56.10.14
空知,15915,雪,芦別,アシベツ,芦別市北1条東,43,31,142,11.4,90,昭56.10.13
空知,15920,雪,美唄,ビバイ,美唄市北美唄町二区,43,21.8,141,49.6,16,昭56.10.13
空知,15923,官,岩見沢,イワミザワ,岩見沢市5条東　岩見沢特別地域気象観測所,43,12.7,141,47.1,42,平11.3.1
空知,15925,雪,夕張,ユウバリ,夕張市鹿の谷山手町,43,2.3,141,57.4,293,昭54.10.31
空知,15930,雪,滝川,タキカワ,滝川市南滝の川,43,34.2,141,56.3,50,昭57.10.15
後志,16900,雪,赤井川,アカイガワ,余市郡赤井川村赤井川,43,5,140,49.2,148,昭63.10.14
後志,16903,官,小樽,オタル,小樽市勝納町　小樽特別地域気象観測所,43,10.9,141,0.9,25,平11.3.1
後志,16905,雪,余市,ヨイチ,余市郡余市町豊丘町,43,10.9,140,45.5,20,昭56.10.8
後志,16910,雪,共和,キョウワ,岩内郡共和町南幌似,42,58.8,140,36.2,15,昭59.10.8
後志,16915,雪,蘭越,ランコシ,磯谷郡蘭越町蘭越,42,48.6,140,32.5,39,昭56.10.9
後志,16917,官,倶知安,クッチャン,虻田郡倶知安町南1条東　倶知安特別地域気象観測所,42,54,140,45.4,176,平11.3.1
後志,16918,官,寿都,スッツ,寿都郡寿都町新栄町　寿都特別地域気象観測所,42,47.7,140,13.4,33,平11.3.1
後志,16920,雪,喜茂別,キモベツ,虻田郡喜茂別町伏見,42,47.6,140,56.9,264,昭56.10.7
後志,16925,雪,黒松内,クロマツナイ,寿都郡黒松内町黒松内,42,39.8,140,18.6,27,昭56.10.23
オホーツク,17900,雪,西興部,ニシオコッペ,紋別郡西興部村西興部,44,19.9,142,56.1,120,昭60.10.15
オホーツク,17903,官,雄武,オウム,紋別郡雄武町雄武　雄武特別地域気象観測所,44,34.8,142,57.8,14,平11.3.1
オホーツク,17904,官,紋別,モンベツ,紋別市南が丘町　紋別特別地域気象観測所,44,20.7,143,21.3,16,平11.3.1
オホーツク,17905,雪,滝上,タキノウエ,紋別郡滝上町滝ノ上原野5線南,44,10.6,143,3.7,165,昭59.10.9
オホーツク,17910,雪,遠軽,エンガル,紋別郡遠軽町東町,44,3.2,143,32.4,80,昭59.10.9
オホーツク,17915,雪,佐呂間,サロマ,常呂郡佐呂間町西富,44,1.1,143,45.6,54,昭63.10.20
オホーツク,17917,官,網走,アバシリ,網走市台町　網走地方気象台,44,1,144,16.7,38,平11.3.1
オホーツク,17925,雪,北見,キタミ,北見市広郷,43,46.6,143,50.5,104,昭54.11.5
オホーツク,17930,雪,留辺蘂,ルベシベ,北見市留辺蘂町大和,43,44.5,143,27,325,昭59.10.8
オホーツク,17935,雪,宇登呂,ウトロ,斜里郡斜里町ウトロ高原,44,3.1,144,58.9,144,昭63.10.13
オホーツク,17940,雪,斜里,シャリ,斜里郡斜里町以久科南,43,53.1,144,42,15,昭60.10.14
オホーツク,17950,雪,津別,ツベツ,網走郡津別町豊永,43,42.1,144,2,100,昭62.10.9
オホーツク,17955,雪,白滝,シラタキ,紋別郡遠軽町白滝北支湧別,43,51.9,143,9.2,475,平5.1.27
オホーツク,17960,官,紋別小向,モンベツコムカイ,紋別市小向　紋別航空気象観測所,44,18.2,143,24.2,18,平20.12.1
オホーツク,17965,官,女満別,メマンベツ,網走郡大空町女満別中央　女満別航空気象観測所,43,52.8,144,9.8,33,平18.11.29
根室,18910,雪,中標津,ナカシベツ,標津郡中標津町桜ケ丘,43,32.6,144,58.7,50,昭60.10.9
根室,18915,雪,別海,ベツカイ,野付郡別海町川上町,43,22.9,145,7.1,23,昭63.10.11
根室,18917,官,根室,ネムロ,根室市弥栄町　根室特別地域気象観測所,43,19.8,145,35.1,25,平11.3.1
根室,18920,雪,厚床,アットコ,根室市西厚床,43,13.3,145,13.6,41,昭61.10.15
根室,18925,雪,羅臼,ラウス,目梨郡羅臼町栄町,44,1.4,145,11.2,15,平17.11.1
根室,18930,官,根室中標津,ネムロナカシベツ,標津郡中標津町字中標津　中標津航空気象観測所,43,34.6,144,57.6,65,平18.11.29
釧路,19900,雪,川湯,カワユ,川上郡弟子屈町川湯駅前,43,37,144,27.4,158,昭60.10.9
釧路,19910,雪,阿寒湖畔,アカンコハン,釧路市阿寒町阿寒湖温泉,43,26.2,144,5.1,450,昭61.10.15
釧路,19915,雪,標茶,シベチャ,川上郡標茶町開運,43,17.5,144,35.2,20,昭62.10.7
釧路,19920,雪,鶴居,ツルイ,阿寒郡鶴居村鶴居東,43,13.9,144,19.5,38,昭60.10.9
釧路,19925,雪,中徹別,ナカテシベツ,釧路市阿寒町徹別原野34線,43,11.9,144,8.5,80,昭63.10.26
釧路,19930,雪,太田,オオタ,厚岸郡厚岸町太田,43,5.4,144,46.7,85,昭61.10.13
釧路,19935,官,鶴丘,ツルオカ,釧路市鶴丘　釧路航空気象観測所,43,2.4,144,11.5,95,平18.11.29
釧路,19940,雪,白糠,シラヌカ,白糠郡白糠町茶路西1線,42,58.2,144,3.7,9,昭61.10.13
釧路,19950,官,釧路,クシロ,釧路市幸町　釧路地方気象台,42,59.1,144,22.6,5,平12.10.5
十勝,20900,雪,陸別,リクベツ,足寄郡陸別町陸別原野分線,43,28.1,143,44.3,207,昭61.10.22
十勝,20910,雪,ぬかびら源泉郷,ヌカビラゲンセンキョウ,河東郡上士幌町ぬかびら源泉郷北区,43,22,143,11.5,540,昭59.10.26
十勝,20920,雪,上士幌,カミシホロ,河東郡上士幌町東4線,43,14.1,143,18.2,295,昭62.10.27
十勝,20940,雪,芽室,メムロ,河西郡芽室町西3条南,42,54,143,2.6,90,昭62.10.27
十勝,20930,雪,新得,シントク,上川郡新得町4条南,43,4.6,142,50.4,178,昭59.10.26
十勝,20935,雪,本別,ホンベツ,中川郡本別町新町,43,7.9,143,36,67,昭60.10.9
十勝,20943,官,帯広,オビヒロ,帯広市東4条南　帯広測候所,42,55.3,143,12.7,38,平11.3.1
十勝,20945,雪,浦幌,ウラホロ,十勝郡浦幌町桜町,42,48.5,143,39.4,20,昭60.10.9
十勝,20950,雪,上札内,カミサツナイ,河西郡中札内村元札内西1線,42,38.5,143,5.8,251,昭59.10.27
十勝,20955,官,帯広泉,オビヒロイズミ,帯広市泉町西9線中　帯広航空気象観測所,42,44,143,13,149,平18.11.29
十勝,20960,雪,大樹,タイキ,広尾郡大樹町柏木町,42,30,143,16.4,87,昭60.10.9
十勝,20965,官,広尾,ヒロオ,広尾郡広尾町並木通東　広尾特別地域気象観測所,42,17.6,143,19,32,平11.3.1
胆振,21900,雪,安平,アビラ,勇払郡安平町安平,42,48.8,141,49.7,32,昭58.10.18
胆振,21905,雪,穂別,ホベツ,勇払郡むかわ町穂別,42,45.7,142,8.6,56,昭58.10.18
胆振,21910,雪,大滝,オオタキ,伊達市大滝区本町,42,40.2,141,4.7,390,昭58.10.18
胆振,21913,官,苫小牧,トマコマイ,苫小牧市しらかば町　苫小牧特別地域気象観測所,42,37.4,141,32.8,6,平11.12.23
胆振,21915,雪,大岸,オオキシ,虻田郡豊浦町大岸,42,35.4,140,38.6,4,昭58.10.18
胆振,21920,雪,白老,シラオイ,白老郡白老町高砂町,42,32.6,141,21.1,6,昭58.10.18
胆振,21925,雪,登別,ノボリベツ,登別市札内町,42,27.5,141,7.1,197,昭63.10.14
胆振,21930,官,室蘭,ムロラン,室蘭市山手町　室蘭地方気象台,42,18.7,140,58.5,40,平11.3.1
日高,22900,雪,日高,ヒダカ,沙流郡日高町本町東,42,52.6,142,26.5,280,昭59.10.11
日高,22906,雪,旭,アサヒ,沙流郡平取町旭地区,42,37.7,142,23.6,245,平16.10.29
日高,22910,雪,中杵臼,ナカキネウス,浦河郡浦河町上杵臼,42,13.4,142,56.9,80,昭59.10.30
日高,22913,官,浦河,ウラカワ,浦河郡浦河町潮見町　浦河特別地域気象観測所,42,9.7,142,46.6,37,平11.3.1
日高,22915,雪,目黒,メグロ,幌泉郡えりも町目黒,42,7.6,143,18.8,17,昭59.10.12
日高,22920,雪,静内,シズナイ,日高郡新ひだか町静内山手町,42,20.6,142,21.7,10,昭63.10.13
渡島,23900,雪,長万部,オシャマンベ,山越郡長万部町栄原,42,31.4,140,22.9,10,昭57.10.5
渡島,23905,雪,八雲,ヤクモ,二海郡八雲町本町,42,15.1,140,16.3,8,昭57.10.6
渡島,23910,雪,大沼,オオヌマ,亀田郡七飯町上軍川,41,58.6,140,42.9,165,昭57.10.8
渡島,23915,官,函館,ハコダテ,函館市美原　函館地方気象台,41,49,140,45.2,35,平11.3.1
渡島,23920,雪,千軒,センゲン,松前郡福島町千軒,41,33.5,140,16.3,100,昭57.10.8
渡島,23925,雪,森,モリ,茅部郡森町姫川,42,4,140,35.3,125,平14.3.1
檜山,24915,官,江差,エサシ,檜山郡江差町姥神町　江差特別地域気象観測所,41,52,140,7.4,4,平11.3.1
渡島,23930,官,高松,タカマツ,函館市高松町　函館航空気象観測所,41,46.2,140,49.3,34,平18.11.29
